playerName,url
None,https://targetjobs.co.uk/careers-advice/interviews-and-assessment-centres/what-informal-interview-and-how-can-you-succeed-one
Joseph Woll,https://www.nhl.com/mapleleafs/video/joseph-woll--post-game/t-277437436/c-15384245
Markus Niemelainen,https://www.youtube.com/watch?v=m1RHdy-3bKY
William Lockwood,https://www.youtube.com/watch?v=K1PVaE-w_kE
Vitaly Abramov,https://www.youtube.com/watch?v=amvxCE584JE
Adam Fox,https://www.youtube.com/watch?v=phh-4Ncpf7I
Matt Filipe,https://epaper.bostonglobe.com/BostonGlobe/article_popover.aspx?guid=58819a1c-47e2-40da-b083-3df55ab2383b&source=prev
Cam Dineen,https://www.youtube.com/watch?v=aIMYAnYItA4
Cliff Pu,https://www.youtube.com/watch?v=PnnD3V5g8iQ
Will Bitten,https://theahl.com/ahl_videos/ia-interview-with-will-bitten
Josh Anderson,https://www.nhl.com/canadiens/video/qa-with-josh-anderson/c-12130655
J.D. Greenway,https://www.youtube.com/watch?v=efTyHQi0tps
Joey Anderson,https://www.15questions.net/interview/fifteen-questions-interview-joey-anderson/
Hudson Elynuik,https://www.tucsonroadrunners.com/one-on-one/1-on-1-with-roadrunners-forward-hudson-elynuik/
Jack LaFontaine,https://www.youtube.com/watch?v=2oERg2FU9Ko
Rem Pitlick,https://www.youtube.com/watch?v=KIekuG54ZAY
Connor Hall,https://www.youtube.com/watch?v=MN4UnuQVA4I
Frederic Allard,https://www.youtube.com/watch?v=yhTbnBoosQA
Luke Green,https://www.youtube.com/watch?v=R0xr-ecIoC0
Brandon Gignac,https://www.youtube.com/watch?v=_CIMClwolzA
Sean Day,https://www.youtube.com/watch?v=6BQ6dmXgSGw
Carsen Twarynski,https://brotherlypuck.com/2020/04/23/brotherly-pod-qa-carsen-twarynski/
Wouter Peeters,https://www.nhl.com/blackhawks/video/peeters-on-goaltending-style/t-277437096/c-44306103
Matthew Cairns,https://operacanada.ca/new-on-the-scene-matthew-cairns/
Josh Mahura,https://www.facebook.com/BallySportsFlorida/videos/josh-mahura-intermission-interview/920029392382528/
Casey Fitzgerald,https://www.puckfeed.com/feeds/all?player=8479578
Garrett Pilon,https://www.youtube.com/watch?v=4NKYrDx7kLM
Connor Ingram,https://www.youtube.com/watch?v=Q6bJVXOzp9g
Linus Nassen,https://www.youtube.com/watch?v=LQMdXLp0RAE
Fredrik Karlstrom,https://www.facebook.com/TexasStars/videos/2021-22-exit-interview-fredrik-karlstrom/805671383728932/
