Name,GSAA_Quality1,GSAA_Quality2,GSAA_Quality3,GSAA_Quality4,GSAA_Quality5,GSAA_Quality6,GSAA_Quality7,GSAA_Quality8,GSAA_Quality9,GSAA,Team,GP,Cap,VPM
Eetu Makiniemi,0.0193,0.3396,-1.2751,0.0737,0.4804,0.8463,0.2875,0.1633,-0.8109,0.1241,SJS,2,867500.0,-1.158941
Michael Hutchinson,-0.7554,-0.1889,-1.4922,0.5064,-1.1387,2.3095,-6.7832,0.6531,-1.5416,-8.431,VGK,16,750000.0,-1.1959399999999998
James Reimer,0.6438,1.8673,-2.37,-4.2053,-4.5301,-9.8951,-1.4226,0.6531,6.4811,-12.7778,SJS,43,2250000.0,-1.2341719999999996
Olle Eriksson Ek,0.0193,-0.4906,0.6731,-0.7051,0.3843,-0.3955,-0.4251,-0.0,0.0,-0.9396,ANA,1,750000.0,-1.348004
Daniil Tarasov,0.2704,-2.8682,-1.4567,-2.9776,3.7652,-1.5142,0.9172,-1.6735,-2.1634,-7.7008,CBJ,17,1050000.0,-1.3916920000000002
Leevi Merilainen,0.0451,-0.4057,-3.2233,0.2212,0.5765,0.0881,0.8624,0.1633,0.3782,-1.2942,OTT,2,820000.0,-1.420008
Jon Gillies,0.0193,0.8773,-2.3431,0.516,-0.4235,-1.6701,0.1498,0.0,0.0,-2.8743,ARI,3,750000.0,-1.5523319999999998
Ivan Prosvetov,0.1094,-0.0001,-8.34,-1.5994,0.153,0.3525,2.8806,0.3265,0.9712,-5.1463,ARI,7,750000.0,-1.5776119999999998
Yaroslav Askarov,0.0386,-0.5472,-0.4822,0.1474,-0.9039,0.6045,0.2935,0.0,0.0,-0.8493,NSH,1,925000.0,-1.618582
Anton Forsberg,0.515,-3.8589,-0.4505,3.0128,0.3774,0.1355,-0.9208,-0.5102,-1.0832,-2.7829,OTT,28,2750000.0,-1.6203959999999995
Cayden Primeau,0.0193,0.5377,0.932,-0.484,0.3843,-1.5492,-2.1315,0.0,0.0,-2.2914,MTL,3,890000.0,-1.646236
Felix Sandstrom,-0.6459,1.6224,0.7698,-1.6507,-3.5231,-1.0961,-1.0889,-0.1837,-7.2723,-13.0685,PHI,20,775000.0,-1.8306899999999997
Justus Annunen,0.0386,-0.434,0.5696,-0.5577,-1.0391,-1.2746,-0.1376,0.0,0.0,-2.8348,COL,2,880833.0,-1.8913431099999998
Matt Murray,0.3863,-5.3778,2.98,1.8974,-4.7579,-0.9527,-0.0585,-0.3469,0.295,-5.9351,DAL,3,750000.0,-2.286924
Eric Comrie,-0.7167,-1.4814,-3.5409,-0.2404,0.3417,-0.5899,-3.7893,-1.1837,1.4584,-9.7422,BUF,19,1800000.0,-2.874128
